nohup: ignoring input
[PHOENIX] Starting 100M Validation Run...
[AUD] Run: 1000000 | Success: 84641 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 2000000 | Success: 169295 | Sync Rate: 8.4648% | Node: 93307
[AUD] Run: 3000000 | Success: 253936 | Sync Rate: 8.4645% | Node: 93307
[AUD] Run: 4000000 | Success: 338570 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 5000000 | Success: 423206 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 6000000 | Success: 507839 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 7000000 | Success: 592487 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 8000000 | Success: 677115 | Sync Rate: 8.4639% | Node: 93307
[AUD] Run: 9000000 | Success: 761760 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 10000000 | Success: 846403 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 11000000 | Success: 931043 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 12000000 | Success: 1015690 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 13000000 | Success: 1100324 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 14000000 | Success: 1184962 | Sync Rate: 8.4640% | Node: 93307
[AUD] Run: 15000000 | Success: 1269624 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 16000000 | Success: 1354260 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 17000000 | Success: 1438896 | Sync Rate: 8.4641% | Node: 93307
[AUD] Run: 18000000 | Success: 1523558 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 19000000 | Success: 1608196 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 20000000 | Success: 1692830 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 21000000 | Success: 1777481 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 22000000 | Success: 1862126 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 23000000 | Success: 1946756 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 24000000 | Success: 2031408 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 25000000 | Success: 2116056 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 26000000 | Success: 2200707 | Sync Rate: 8.4643% | Node: 93307
[AUD] Run: 27000000 | Success: 2285344 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 28000000 | Success: 2369982 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 29000000 | Success: 2454632 | Sync Rate: 8.4642% | Node: 93307
[AUD] Run: 30000000 | Success: 2539269 | Sync Rate: 8.4642% | Node: 93307
